Kbb_url,title,price,mileage,Body_Style,Exterior_Color,Interior_Color,Fuel_Economy,Engine,Fuel_Type,Transmission,Drive_Type,Doors,consumer_rating,expert_rating
https://www.kbb.com/cars-for-sale/531108358/?totalresults=997&index=0&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2016 Chevrolet Silverado 1500 4x4 Crew Cab LT\n\t\t'],"['\n\t\t\t\t$29,740\n\t\t\t']","31,635", Truck, Summit White, Dark Ash/Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, All wheel drive, Four Door,4.5,4.3
https://www.kbb.com/cars-for-sale/527189227/?totalresults=997&index=1&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2015 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$23,501\n\t\t\t']","99,679", Truck, White Diamond Clearcoat, Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.5,4.3
https://www.kbb.com/cars-for-sale/528739331/?totalresults=0&index=0&searchtype=used&atcmake=chevrolet&zipcode=&srpi=spo&bodystyle=trucks&p=1,['\n\t\t\tUsed 2018 Chevrolet Silverado 2500 LT\n\t\t'],"['\n\t\t\t\t$37,000\n\t\t\t']","6,106", Truck, White, Dk. Gray,, 8-Cylinder, Flexible Fuel, 6-Speed Shiftable Automatic, 2 wheel drive - rear, Four Door,4.6,4.2
https://www.kbb.com/cars-for-sale/516369460/?totalresults=997&index=2&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2015 Chevrolet Silverado 1500 LTZ\n\t\t'],"['\n\t\t\t\t$27,998\n\t\t\t']","62,824", Truck, Victory Red, Cocoa, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, All wheel drive, Four Door,4.5,4.3
https://www.kbb.com/cars-for-sale/515477842/?totalresults=997&index=3&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2018 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$28,698\n\t\t\t']","53,405", Truck, Black, Dark Ash/Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, Automatic, 4 wheel drive - rear wheel default, Four Door,4.5,4.2
https://www.kbb.com/cars-for-sale/526029297/?totalresults=997&index=4&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2019 Chevrolet Colorado LT\n\t\t'],"['\n\t\t\t\t$26,409\n\t\t\t']","23,345", Truck, Silver Ice Metallic, Jet Black, City 17/Hwy 24/Comb 19 MPG, 6-Cylinder, Gasoline, 8-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,,
https://www.kbb.com/cars-for-sale/530431201/?totalresults=0&index=0&searchtype=used&atcmake=chevrolet&zipcode=&srpi=spo&bodystyle=trucks&p=1,['\n\t\t\tUsed 2015 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$24,220\n\t\t\t']","44,415", Truck, Summit White, Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, 2 wheel drive - rear, Four Door,4.5,4.3
https://www.kbb.com/cars-for-sale/531108165/?totalresults=997&index=5&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2018 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$28,950\n\t\t\t']","12,533", Truck, Black, Jet Black, City 16/Hwy 23/Comb 19 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, 2 wheel drive - rear, Four Door,4.5,4.2
https://www.kbb.com/cars-for-sale/531108166/?totalresults=997&index=6&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2018 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$28,950\n\t\t\t']","14,472", Truck, Summit White, Jet Black, City 16/Hwy 23/Comb 19 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, 2 wheel drive - rear, Four Door,4.5,4.2
https://www.kbb.com/cars-for-sale/531237279/?totalresults=997&index=7&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2010 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$13,620\n\t\t\t']","139,179", Truck, Black, Ebony, City 15/Hwy 21/Comb 17 MPG, 8-Cylinder, Flexible Fuel, 6-Speed Automatic, 2 wheel drive - rear, Four Door,,
https://www.kbb.com/cars-for-sale/531256627/?totalresults=997&index=8&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2011 Chevrolet Colorado LT\n\t\t'],"['\n\t\t\t\t$19,500\n\t\t\t']","7,111", Truck, Green, Other, City 16/Hwy 21/Comb 19 MPG, 4-Cylinder, Gasoline, 4-Speed Automatic, 2 wheel drive - rear, Four Door,,
https://www.kbb.com/cars-for-sale/528323564/?totalresults=997&index=9&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2017 Chevrolet Colorado 2WD Crew Cab W/T\n\t\t'],"['\n\t\t\t\t$21,433\n\t\t\t']","16,204", Truck, Cyber Gray Metallic, Jet Black/Dark Ash,, 6-Cylinder, Gasoline, 8-Speed Shiftable Automatic, 2 wheel drive - rear, Four Door,4.4,4.2
https://www.kbb.com/cars-for-sale/529191587/?totalresults=997&index=10&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2014 Chevrolet Silverado 1500 4x4 Crew Cab LT\n\t\t'],"['\n\t\t\t\t$23,975\n\t\t\t']","45,395", Truck, Black, Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Flexible Fuel, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.5,3.9
https://www.kbb.com/cars-for-sale/531132375/?totalresults=997&index=11&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2016 Chevrolet Silverado 1500 4x4 Double Cab Custom\n\t\t'],"['\n\t\t\t\t$25,800\n\t\t\t']","18,607", Truck, White, Dk. Gray, City 16/Hwy 22/Comb 18 MPG, 6-Cylinder, Gasoline, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.5,4.3
https://www.kbb.com/cars-for-sale/531707533/?totalresults=997&index=12&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2014 Chevrolet Silverado 1500 2WD Regular Cab LT\n\t\t'],"['\n\t\t\t\t$26,000\n\t\t\t']","28,766", Truck, Silver, Black, City 16/Hwy 22/Comb 18 MPG, 6-Cylinder, Flexible Fuel, 6-Speed Shiftable Automatic, 2 wheel drive - rear, Two Door,4.5,3.9
https://www.kbb.com/cars-for-sale/531712667/?totalresults=997&index=13&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2015 Chevrolet Colorado LT\n\t\t'],"['\n\t\t\t\t$26,200\n\t\t\t']","36,530", Truck, Black, Black, City 17/Hwy 24/Comb 20 MPG, 6-Cylinder, Gasoline, 6-Speed Automatic, 2 wheel drive - rear, Four Door,4.4,4.3
https://www.kbb.com/cars-for-sale/528107568/?totalresults=997&index=14&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2015 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$26,990\n\t\t\t']","20,849", Truck, Silver Ice Metallic, Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, All wheel drive, Four Door,4.5,4.3
https://www.kbb.com/cars-for-sale/531702452/?totalresults=997&index=15&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2012 Chevrolet Avalanche 4x4 LTZ\n\t\t'],"['\n\t\t\t\t$27,400\n\t\t\t']","52,624", Truck, Silver, Black, City 15/Hwy 21/Comb 17 MPG, 8-Cylinder, Flexible Fuel, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.8,3.5
https://www.kbb.com/cars-for-sale/531325801/?totalresults=997&index=16&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2018 Chevrolet Colorado LT\n\t\t'],"['\n\t\t\t\t$27,500\n\t\t\t']","21,975", Truck, Black, Jet Black, City 17/Hwy 24/Comb 19 MPG, 6-Cylinder, Gasoline, 8-Speed Automatic, All wheel drive, Four Door,4.4,4.2
https://www.kbb.com/cars-for-sale/531484890/?totalresults=997&index=17&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2013 Chevrolet Avalanche 4x4 LT\n\t\t'],"['\n\t\t\t\t$27,700\n\t\t\t']","47,547", Truck, Dk. Green, Black, City 15/Hwy 21/Comb 17 MPG, 8-Cylinder, Flexible Fuel, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.8,3.4
https://www.kbb.com/cars-for-sale/530299772/?totalresults=997&index=18&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2017 Chevrolet Silverado 1500 4x4 Double Cab LT\n\t\t'],"['\n\t\t\t\t$31,955\n\t\t\t']","26,863", Truck, Pepperdust Metallic, Jet Black / Dark Ash, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, All wheel drive, Four Door,4.5,4.2
https://www.kbb.com/cars-for-sale/530519156/?totalresults=997&index=19&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2017 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$32,994\n\t\t\t']","11,015", Truck, Siren Red Tintcoat, Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 6-Speed Automatic, All wheel drive, Four Door,4.5,4.2
https://www.kbb.com/cars-for-sale/531382139/?totalresults=997&index=20&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2019 Chevrolet Silverado 1500 LT\n\t\t'],"['\n\t\t\t\t$37,084\n\t\t\t']","1,431", Truck, Shadow Gray Metallic, Jet Black, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Gasoline, 8-Speed Automatic, All wheel drive, Four Door,5,4.4
https://www.kbb.com/cars-for-sale/531708970/?totalresults=997&index=21&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2014 Chevrolet Silverado 1500 4x4 Crew Cab High Country\n\t\t'],"['\n\t\t\t\t$38,000\n\t\t\t']","35,828", Truck, White, Brown, City 16/Hwy 22/Comb 18 MPG, 8-Cylinder, Flexible Fuel, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.5,3.9
https://www.kbb.com/cars-for-sale/529092042/?totalresults=997&index=22&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2017 Chevrolet Silverado 1500 4x4 Crew Cab High Country\n\t\t'],"['\n\t\t\t\t$40,000\n\t\t\t']","14,642", Truck, Pearl, Cocoa/Dune, City 15/Hwy 20/Comb 17 MPG, 8-Cylinder, Gasoline, 8-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,4.5,4.2
https://www.kbb.com/cars-for-sale/527812413/?totalresults=997&index=23&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2019 Chevrolet Silverado 1500 4x4 Crew Cab Custom Trail Boss\n\t\t'],"['\n\t\t\t\t$40,149\n\t\t\t']","2,525", Truck, Red, Jet Black,, 8-Cylinder, Gasoline, 6-Speed Automatic, All wheel drive, Four Door,5,4.4
https://www.kbb.com/cars-for-sale/531439748/?totalresults=997&index=24&searchtype=used&atcmake=chevrolet&zipcode=&srpi=cla&bodystyle=trucks&p=1,['\n\t\t\tUsed 2015 Chevrolet Silverado 3500 4x4 Crew Cab LTZ\n\t\t'],"['\n\t\t\t\t$44,777\n\t\t\t']","64,592", Truck, Black, Jet Black,, 8-Cylinder Turbo, Diesel, 6-Speed Shiftable Automatic, 4 wheel drive - rear wheel default, Four Door,,
